"_time","count_value",metric
"2026-02-15T09:45:00.000-0700",380,"store_order_count"
"2026-02-15T10:00:00.000-0700",281,"store_order_count"
"2026-02-15T10:15:00.000-0700",413,"store_order_count"
"2026-02-15T10:30:00.000-0700",489,"store_order_count"
"2026-02-15T10:45:00.000-0700",462,"store_order_count"
"2026-02-15T11:00:00.000-0700",480,"store_order_count"
"2026-02-15T11:15:00.000-0700",358,"store_order_count"
"2026-02-15T12:15:00.000-0700",492,"store_order_count"
"2026-02-15T12:30:00.000-0700",537,"store_order_count"
"2026-02-15T12:45:00.000-0700",490,"store_order_count"
"2026-02-15T13:00:00.000-0700",495,"store_order_count"
"2026-02-15T13:15:00.000-0700",623,"store_order_count"
"2026-02-15T13:30:00.000-0700",530,"store_order_count"
"2026-02-15T13:45:00.000-0700",579,"store_order_count"
"2026-02-15T14:00:00.000-0700",676,"store_order_count"
"2026-02-15T14:45:00.000-0700",412,"store_order_count"
"2026-02-15T15:00:00.000-0700",495,"store_order_count"
"2026-02-15T15:15:00.000-0700",447,"store_order_count"
"2026-02-15T15:30:00.000-0700",454,"store_order_count"
"2026-02-15T15:45:00.000-0700",504,"store_order_count"
"2026-02-15T16:00:00.000-0700",580,"store_order_count"
"2026-02-15T16:15:00.000-0700",530,"store_order_count"
"2026-02-15T16:30:00.000-0700",432,"store_order_count"
"2026-02-15T16:45:00.000-0700",518,"store_order_count"
"2026-02-15T19:45:00.000-0700",286,"store_order_count"
"2026-02-15T22:15:00.000-0700",191,"store_order_count"
"2026-02-15T22:30:00.000-0700",250,"store_order_count"
"2026-02-16T00:45:00.000-0700",129,"store_order_count"
"2026-02-16T01:00:00.000-0700",59,"store_order_count"
"2026-02-16T01:15:00.000-0700",211,"store_order_count"
"2026-02-16T03:15:00.000-0700",50,"store_order_count"
"2026-02-16T03:30:00.000-0700",68,"store_order_count"
"2026-02-16T03:45:00.000-0700",31,"store_order_count"
"2026-02-16T04:00:00.000-0700",95,"store_order_count"
"2026-02-16T05:45:00.000-0700",40,"store_order_count"
"2026-02-16T06:00:00.000-0700",29,"store_order_count"
"2026-02-16T06:15:00.000-0700",38,"store_order_count"
"2026-02-16T06:30:00.000-0700",14,"store_order_count"
"2026-02-16T06:45:00.000-0700",11,"store_order_count"
"2026-02-16T08:15:00.000-0700",149,"store_order_count"
"2026-02-16T08:30:00.000-0700",262,"store_order_count"
"2026-02-16T08:45:00.000-0700",255,"store_order_count"
"2026-02-16T09:00:00.000-0700",401,"store_order_count"
"2026-02-16T09:15:00.000-0700",460,"store_order_count"
"2026-02-16T09:30:00.000-0700",719,"store_order_count"
"2026-02-16T10:45:00.000-0700",923,"store_order_count"
"2026-02-16T11:00:00.000-0700",991,"store_order_count"
"2026-02-16T11:15:00.000-0700",1089,"store_order_count"
"2026-02-16T11:30:00.000-0700",1056,"store_order_count"
"2026-02-16T11:45:00.000-0700",1178,"store_order_count"
"2026-02-16T12:00:00.000-0700",1012,"store_order_count"
"2026-02-16T12:15:00.000-0700",1219,"store_order_count"
"2026-02-16T13:15:00.000-0700",946,"store_order_count"
"2026-02-16T13:30:00.000-0700",945,"store_order_count"
"2026-02-16T13:45:00.000-0700",931,"store_order_count"
"2026-02-16T14:00:00.000-0700",813,"store_order_count"
"2026-02-16T14:15:00.000-0700",895,"store_order_count"
"2026-02-16T14:30:00.000-0700",968,"store_order_count"
"2026-02-16T14:45:00.000-0700",1069,"store_order_count"
"2026-02-16T15:00:00.000-0700",1060,"store_order_count"
"2026-02-16T15:45:00.000-0700",1246,"store_order_count"
"2026-02-16T16:00:00.000-0700",965,"store_order_count"
"2026-02-16T16:15:00.000-0700",1129,"store_order_count"
"2026-02-16T16:30:00.000-0700",1030,"store_order_count"
"2026-02-16T16:45:00.000-0700",1076,"store_order_count"
"2026-02-16T17:00:00.000-0700",1040,"store_order_count"
"2026-02-16T17:15:00.000-0700",911,"store_order_count"
"2026-02-16T17:30:00.000-0700",977,"store_order_count"
"2026-02-16T17:45:00.000-0700",1191,"store_order_count"
"2026-02-16T18:15:00.000-0700",832,"store_order_count"
"2026-02-16T18:30:00.000-0700",823,"store_order_count"
"2026-02-16T18:45:00.000-0700",686,"store_order_count"
"2026-02-16T19:00:00.000-0700",487,"store_order_count"
"2026-02-16T19:15:00.000-0700",468,"store_order_count"
"2026-02-16T19:30:00.000-0700",457,"store_order_count"
"2026-02-16T19:45:00.000-0700",523,"store_order_count"
"2026-02-16T20:00:00.000-0700",636,"store_order_count"
"2026-02-16T20:15:00.000-0700",526,"store_order_count"
"2026-02-16T20:30:00.000-0700",472,"store_order_count"
"2026-02-16T23:15:00.000-0700",275,"store_order_count"
"2026-02-16T23:30:00.000-0700",275,"store_order_count"
"2026-02-17T01:45:00.000-0700",44,"store_order_count"
"2026-02-17T02:00:00.000-0700",60,"store_order_count"
"2026-02-17T02:15:00.000-0700",129,"store_order_count"
"2026-02-17T04:15:00.000-0700",25,"store_order_count"
"2026-02-17T04:30:00.000-0700",29,"store_order_count"
"2026-02-17T04:45:00.000-0700",57,"store_order_count"
"2026-02-17T05:00:00.000-0700",158,"store_order_count"
"2026-02-17T06:45:00.000-0700",57,"store_order_count"
"2026-02-17T07:00:00.000-0700",76,"store_order_count"
"2026-02-17T07:15:00.000-0700",110,"store_order_count"
"2026-02-17T07:30:00.000-0700",112,"store_order_count"
"2026-02-17T07:45:00.000-0700",146,"store_order_count"
"2026-02-17T09:15:00.000-0700",367,"store_order_count"
"2026-02-17T09:30:00.000-0700",585,"store_order_count"
"2026-02-17T09:45:00.000-0700",573,"store_order_count"
"2026-02-17T10:00:00.000-0700",933,"store_order_count"
"2026-02-17T10:15:00.000-0700",881,"store_order_count"
"2026-02-17T10:30:00.000-0700",910,"store_order_count"
"2026-02-17T11:45:00.000-0700",1173,"store_order_count"
"2026-02-17T12:00:00.000-0700",1206,"store_order_count"
"2026-02-17T12:15:00.000-0700",1430,"store_order_count"
"2026-02-17T12:30:00.000-0700",1114,"store_order_count"
"2026-02-17T12:45:00.000-0700",1206,"store_order_count"
"2026-02-17T13:00:00.000-0700",1113,"store_order_count"
"2026-02-17T13:15:00.000-0700",1209,"store_order_count"
"2026-02-17T14:15:00.000-0700",788,"store_order_count"
"2026-02-17T14:30:00.000-0700",944,"store_order_count"
"2026-02-17T14:45:00.000-0700",992,"store_order_count"
"2026-02-17T15:00:00.000-0700",1123,"store_order_count"
"2026-02-17T15:15:00.000-0700",1094,"store_order_count"
"2026-02-17T15:30:00.000-0700",1118,"store_order_count"
"2026-02-17T15:45:00.000-0700",1071,"store_order_count"
"2026-02-17T16:00:00.000-0700",1250,"store_order_count"
"2026-02-17T16:45:00.000-0700",1122,"store_order_count"
"2026-02-17T17:00:00.000-0700",1172,"store_order_count"
"2026-02-17T17:15:00.000-0700",1241,"store_order_count"
"2026-02-17T17:30:00.000-0700",1009,"store_order_count"
"2026-02-17T17:45:00.000-0700",1173,"store_order_count"
"2026-02-17T18:00:00.000-0700",923,"store_order_count"
"2026-02-17T18:15:00.000-0700",795,"store_order_count"
"2026-02-17T18:30:00.000-0700",615,"store_order_count"
"2026-02-17T18:45:00.000-0700",604,"store_order_count"
"2026-02-17T19:15:00.000-0700",661,"store_order_count"
"2026-02-17T19:30:00.000-0700",562,"store_order_count"
"2026-02-17T19:45:00.000-0700",649,"store_order_count"
"2026-02-17T20:00:00.000-0700",466,"store_order_count"
"2026-02-17T20:15:00.000-0700",606,"store_order_count"
"2026-02-17T20:30:00.000-0700",660,"store_order_count"
"2026-02-17T20:45:00.000-0700",570,"store_order_count"
"2026-02-17T21:00:00.000-0700",717,"store_order_count"
"2026-02-17T21:15:00.000-0700",470,"store_order_count"
"2026-02-17T21:30:00.000-0700",576,"store_order_count"
"2026-02-17T22:00:00.000-0700",469,"store_order_count"
"2026-02-17T22:15:00.000-0700",547,"store_order_count"
"2026-02-17T22:30:00.000-0700",320,"store_order_count"
"2026-02-17T22:45:00.000-0700",433,"store_order_count"
"2026-02-17T23:00:00.000-0700",340,"store_order_count"
"2026-02-17T23:15:00.000-0700",192,"store_order_count"
"2026-02-17T23:30:00.000-0700",284,"store_order_count"
"2026-02-17T23:45:00.000-0700",293,"store_order_count"
"2026-02-18T00:00:00.000-0700",286,"store_order_count"
"2026-02-18T02:45:00.000-0700",90,"store_order_count"
"2026-02-18T03:00:00.000-0700",92,"store_order_count"
"2026-02-18T03:15:00.000-0700",54,"store_order_count"
"2026-02-18T05:15:00.000-0700",32,"store_order_count"
"2026-02-18T05:30:00.000-0700",62,"store_order_count"
"2026-02-18T05:45:00.000-0700",70,"store_order_count"
"2026-02-18T06:00:00.000-0700",35,"store_order_count"
"2026-02-18T07:45:00.000-0700",145,"store_order_count"
"2026-02-18T08:00:00.000-0700",237,"store_order_count"
"2026-02-18T08:15:00.000-0700",196,"store_order_count"
"2026-02-18T08:30:00.000-0700",293,"store_order_count"
"2026-02-18T08:45:00.000-0700",300,"store_order_count"
"2026-02-18T10:15:00.000-0700",909,"store_order_count"
"2026-02-18T10:30:00.000-0700",876,"store_order_count"
"2026-02-18T10:45:00.000-0700",1081,"store_order_count"
"2026-02-18T11:00:00.000-0700",947,"store_order_count"
"2026-02-18T11:15:00.000-0700",1160,"store_order_count"
"2026-02-18T11:30:00.000-0700",1382,"store_order_count"
"2026-02-18T12:45:00.000-0700",1272,"store_order_count"
"2026-02-18T13:00:00.000-0700",1390,"store_order_count"
"2026-02-18T13:15:00.000-0700",1254,"store_order_count"
"2026-02-18T13:30:00.000-0700",1088,"store_order_count"
"2026-02-18T13:45:00.000-0700",1077,"store_order_count"
"2026-02-18T14:00:00.000-0700",1136,"store_order_count"
"2026-02-18T14:15:00.000-0700",809,"store_order_count"
"2026-02-18T15:15:00.000-0700",1084,"store_order_count"
"2026-02-18T15:30:00.000-0700",1052,"store_order_count"
